Ваш SKU *,Название группы вариантов,Название товара *,Бренд *,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования
GFT6496,Моментальное пополнение Stumble Guys,Моментальное пополнение Stumble Guys на 1600 Гемов | Все страны,Нет бренда,оплата игровой валюты,игры,Stumble Guys,электронный ключ,"ПК,мобильное устройство,PlayStation 4,PlayStation 5,Xbox One,Xbox Series XIS,Nintendo Switch","Windows,Android,iOS",Stumble Guys,1600,99 лет,все страны,,аркада,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6493,Моментальное пополнение Stumble Guys,Моментальное пополнение Stumble Guys на 250 Гемов | Все страны,Нет бренда,оплата игровой валюты,игры,Stumble Guys,электронный ключ,"ПК,мобильное устройство,PlayStation 4,PlayStation 5,Xbox One,Xbox Series XIS,Nintendo Switch","Windows,Android,iOS",Stumble Guys,250,99 лет,все страны,,аркада,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6684,Моментальное пополнение Stumble Guys,Моментальное пополнение Stumble Guys на 5000 Гемов | Все страны,Нет бренда,оплата игровой валюты,игры,Stumble Guys,электронный ключ,"ПК,мобильное устройство,PlayStation 4,PlayStation 5,Xbox One,Xbox Series XIS,Nintendo Switch","Windows,Android,iOS",Stumble Guys,5000,99 лет,все страны,,аркада,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6494,Моментальное пополнение Stumble Guys,Моментальное пополнение Stumble Guys на 800 Гемов | Все страны,Нет бренда,оплата игровой валюты,игры,Stumble Guys,электронный ключ,"ПК,мобильное устройство,PlayStation 4,PlayStation 5,Xbox One,Xbox Series XIS,Nintendo Switch","Windows,Android,iOS",Stumble Guys,800,99 лет,все страны,,аркада,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6703,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 1031 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,1031,99 лет,все страны,,спорт,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6698,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 14 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,14,99 лет,все страны,,спорт,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6701,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 176 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,176,99 лет,все страны,,спорт,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6699,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 37 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,37,99 лет,все страны,,,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6702,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 500 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,500,99 лет,все страны,,спорт,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT6700,Моментальное пополнение Top Eleven Be Football Manager,Моментальное пополнение Top Eleven Be Football Manager на 80 Токенов | Все страны,Нет бренда,оплата игровой валюты,игры,Top Eleven Be Football Manager,электронный ключ,"ПК,мобильное устройство","Windows,Android,iOS",Top Eleven Be Football Manager,80,99 лет,все страны,,,1,10+,,для аккаунтов всех стран,бессрочно,,все страны
GFT7120,,Моментальное пополнение Where Winds Meet Elite Battle Pass | Все страны,Нет бренда,оплата подписки,игры,Where Winds Meet,электронный ключ,"ПК,мобильное устройство,PlayStation 5,PlayStation 4","Windows,Android,iOS",Where Winds Meet,10,1 месяц,все страны,,любой жанр,1,18+,,для аккаунтов всех стран,бессрочно,,все страны
GFT7119,,Моментальное пополнение Where Winds Meet Monthly Pass | Все страны,Нет бренда,оплата подписки,игры,Where Winds Meet,электронный ключ,"ПК,мобильное устройство,PlayStation 5,PlayStation 4","Windows,Android,iOS",Where Winds Meet,5,1 месяц,все страны,,,1,18+,,для аккаунтов всех стран,бессрочно,,все страны
