Ваш SKU *,Критичные ошибки,Некритичные ошибки,Качество карточки,Рекомендации по заполнению,Название группы вариантов,Название товара *,Ссылка на изображение *,Изображение для миниатюры,Описание товара *,Бренд *,Штрихкод *,Теги,Ссылка на видео,Инструкции,Страна производства,Артикул производителя,Изготовитель,"Вес с упаковкой, кг","Габариты с упаковкой, см",Товар занимает больше одного места,Цена *,Зачёркнутая цена,Себестоимость,Дополнительные расходы,Срок годности,Комментарий к сроку годности,Срок службы,Комментарий к сроку службы,Гарантийный срок,Комментарий к гарантийному сроку,Номер документа на товар,Код ТН ВЭД,Тип уценки,Внешний вид товара,Описание состояния товара,Артикул товара (SKU),CSKU на Маркете,В архиве,Применение,Назначение,Название сервиса,Вид поставки,Платформа,Совместимость с ОС,Сервис активации,Номинал карты,Продолжительность подписки,Территория активации,Бонусы,Жанр игры,Количество подключаемых аккаунтов,Возрастное ограничение,Инструкция по активации,Дополнительная информация,Активация после покупки,"Количество упаковок в товаре, шт.",Территория использования,Дата дополнения карточки,Прочие характеристики
GFT2769,,,60,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Великобритания,GBP 120 PlayStation®Store Wallet gift card (Великобритания) - ваучер. GBP 120 Pl,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>GBP 120 PlayStation®Store Wallet gift card</h2>

<p>Цифровой код активации для пополнения баланса вашего аккаунта в PlayStation®Store.</p>

<ul>
 <li>Получите доступ к широкому выбору игр, дополнений, фильмов и музыки.</li>
 <li>Увеличьте свои возможности в мире виртуальных развлечений.</li>
 <li>Подарите друзьям или близким возможность выбора самих себе подарков.</li>
</ul>

<p>Особенности:</p>
<ul>
 <li>Гибкость использования средств на балансе.</li>
 <li>Быстрая и удобная покупка цифровых товаров.</li>
 <li>Отличный способ пополнить игровой баланс без посещения магазина.</li>
</ul>

<p>Регион активации: Великобритания.</p>
<p>Доставка кода осуществляется онлайн, моментально после покупки.</p>",Sony,,,,,,,,0.1,2/10/5,,17201,21501,11873.7,11873.7,,,,,,,,,,,,5288930334,5288930334,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 2,PlayStation 3","iOS,Android",PlayStation Store,120,99 лет,Великобритания,,,1,16+,,только для британских аккаунтов,бессрочно,,Великобритания,,
GFT2071,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",MiFinity США,USD 10 MiFinity Voucher - Электронный купон для онлайн платежей (все страны) USD,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>USD 10 MiFinity Voucher</h1>

<p>Цифровой код активации USD 10 MiFinity Voucher представляет собой удобный способ пополнить свой аккаунт или совершить онлайн-покупки без использования банковской карты.</p>

<ul>
 <li>После покупки вы получите уникальный код активации на сумму 10 долларов США для использования на платформе MiFinity.</li>
 <li>Быстрое пополнение счета без необходимости вводить данные банковской карты.</li>
 <li>Возможность оплаты различных услуг и товаров в интернете, включая игры, музыку, фильмы и многое другое.</li>
</ul>

<p>USD 10 MiFinity Voucher подходит для всех стран мира. После покупки вы моментально получите цифровой код активации на указанный при оформлении заказа электронный адрес.</p>",MiFinity eVoucher USD,,,,,,,,0.1,2/10/5,,1248,1560,863.85,863.85,,,,,,,,,,,,5288921346,5288921346,,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,10,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6150,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",,Скидочный купон Discounty для всех стран - ваучер Discounty Discounty Discounty,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации Discounty</h2>

<p>Discounty - это уникальная возможность получить скидки и бонусы в различных магазинах и сервисах онлайн. Приобретая цифровой код активации Discounty, вы открываете доступ к эксклюзивным предложениям и акциям.</p>

<ul>
 <li>После покупки цифрового кода активации Discounty вы получаете доступ к скидкам до 50% в популярных интернет-магазинах.</li>
 <li>Вы также получаете возможность участвовать в специальных розыгрышах и акциях, которые доступны только обладателям кода Discounty.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ol>
 <li>Эксклюзивные скидки и бонусы в онлайн-магазинах.</li>
 <li>Возможность участия в акциях и розыгрышах при наличии кода активации.</li>
</ol>

<p>Регион активации: все страны</p>
<p>Доставка кода осуществляется онлайн, сразу после покупки. Вы получаете уникальный код, который необходимо активировать на сайте Discounty для получения доступа к скидкам и акциям.</p>",Discounty | GL,,,,,,,,0.1,2/10/5,,1307,1634,900.8,900.8,,,,,,,,,,,,5288908973,5288908973,,сервис активации,игры,Discounty,электронный ключ,ПК,Windows,Steam,15.99,99 лет,все страны,,,1,0+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6151,,,60,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Чехия,Подарочная карта CZK 6000 PlayStation®Store от (Чехия) - ваучер CZK 6000 PlaySta,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>Цифровой код активации CZK 6000 для PlayStation®Store</h2>

<p>Пополните свой кошелек в PlayStation®Store с помощью цифрового кода активации CZK 6000. Получите доступ к огромному выбору игр, дополнений, фильмов и музыки прямо на вашей консоли PlayStation.</p>

<ul>
 <li>6000 CZK для покупок в PlayStation®Store</li>
 <li>Быстрая и удобная покупка онлайн</li>
 <li>Моментальная активация кода после оплаты</li>
</ul>

<p>Приобретая цифровой код активации CZK 6000, вы получаете удобный способ пополнить свой кошелек в PlayStation®Store и приобрести любимые игры, дополнения и мультимедийный контент.</p>

<p>Активация кода доступна для региона Чехия. Получите код моментально после оплаты и сразу начните покупки в PlayStation®Store.</p>",Sony,,,,,,,,0.1,2/10/5,,26658,33322,18373.41,18373.41,,,,,,,,,,,,5288942547,5288942547,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 3","iOS,Android",PlayStation Store,6000,99 лет,Чехия,,,1,16+,,только для аккаунтов Чехии,бессрочно,,Чехия,,
GFT2072,,,83,"Улучшайте, чтобы получить больше баллов
Характеристики
Бренд +2
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",MiFinity США,USD 50 MiFinity Voucher: Электронный сертификат для онлайн платежей (все страны),https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>USD 50 MiFinity Voucher: цифровой код активации для онлайн-платежей</h1>

<p>Приобретите USD 50 MiFinity Voucher и получите удобный доступ к онлайн-платежам и транзакциям в любой точке мира.</p>

<ul>
 <li>50 долларов США на ваш счет для использования в онлайн-сервисах и магазинах.</li>
 <li>Быстрая и безопасная активация цифрового кода.</li>
 <li>Возможность пополнить баланс электронных кошельков и совершать покупки в интернете.</li>
</ul>

<p>USD 50 MiFinity Voucher отличается простотой использования и гарантирует безопасность ваших финансов при онлайн-оплатах.</p>

<p>Регион активации: все страны. Код активации будет доставлен вам онлайн, что позволит сразу начать пользоваться его преимуществами.</p>",MiFinity eVoucher USD,,,,,,,,0.1,2/10/5,,6240,7800,4319.25,4319.25,,,,,,,,,,,,5288921344,5288921344,,пополнение счета,покупки,MiFinity,электронный ключ,"мобильное устройство,ПК","Windows,macOS,Linux,iOS,Android",MiFinity,50,99 лет,все страны,,,1,18+,,"не подходит для аккаунтов РФ, СНГ и КНР",бессрочно,,все страны,,
GFT6153,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Малайзия,MYR 50 PlayStation®Store Wallet gift card Малайзия - ваучер MYR 50 PlayStation®S,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>MYR 50 PlayStation®Store Wallet gift card</h2>

<p>Цифровой код активации для пополнения баланса PlayStation®Store на сумму 50 малайзийских ринггит.</p>

<ul>
 <li>Мгновенная доставка онлайн</li>
 <li>Позволяет приобретать игры, дополнения, фильмы и многое другое в магазине PlayStation®Store</li>
 <li>Идеальный подарок для любителей игр на PlayStation</li>
</ul>

<p>После покупки вы получите:</p>

<ol>
 <li>Цифровой код активации на сумму 50 MYR для PlayStation®Store</li>
 <li>Возможность пополнить баланс и приобрести любимые игры и контент</li>
</ol>

<p>Регион активации: Малайзия. Код активации будет доставлен вам мгновенно после покупки на указанный электронный адрес.</p>",Sony,,,,,,,,0.1,2/10/5,,1543,1929,1067.96,1067.96,,,,,,,,,,,,5288930258,5288930258,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 3,PlayStation 4,PlayStation 5","iOS,Android",PlayStation Store,50,99 лет,Малайзия,,,1,16+,,только для аккаунтов Малайзии,бессрочно,,Малайзия,,
GFT6154,,,60,"Улучшайте, чтобы получить больше баллов
Характеристики
Ключевые +12
Дополнительные для фильтров +8
Подробности о товаре +5
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Малайзия,MYR 100 PlayStation®Store Wallet gift card - Малайзия - Ваучер MYR 100 PlayStati,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h2>MYR 100 PlayStation®Store Wallet gift card</h2>

<p>Цифровой код активации MYR 100 PlayStation®Store Wallet gift card предоставляет доступ к широкому выбору игр, дополнений, фильмов и музыки в магазине PlayStation®Store.</p>

<ul>
 <li>После покупки вы получите уникальный код активации.</li>
 <li>Легкий и быстрый способ пополнить баланс вашего аккаунта PlayStation.</li>
 <li>Идеальный подарок для любителей игр на PlayStation.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ol>
 <li>Мгновенная доставка кода активации на вашу почту.</li>
 <li>Безопасный способ оплаты и пополнения баланса.</li>
 <li>Широкий выбор контента для PlayStation®.</li>
</ol>

<p>Регион активации: Малайзия.</p>
<p>Код активации MYR 100 PlayStation®Store Wallet gift card будет доставлен вам онлайн, что позволит вам моментально начать пользоваться всеми преимуществами магазина PlayStation®Store.</p>",Sony,,,,,,,,0.1,2/10/5,,3104,3880,2148.5,2148.5,,,,,,,,,,,,5288930254,5288930254,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 3","iOS,Android",PlayStation Store,100,99 лет,Малайзия,,,1,16+,,только для аккаунтов Малайзии,бессрочно,,Малайзия,,
GFT6155,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Малайзия,MYR 200 PlayStation®Store Wallet Gift Card - Малайзия - Ваучер MYR 200 PlayStati,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>MYR 200 PlayStation®Store Wallet gift card</h1>

<p>Цифровой код активации для пополнения кошелька PlayStation®Store на сумму 200 малайзийских ринггитов.</p>

<ul>
 <li>После покупки вы получите уникальный код активации для пополнения кошелька PlayStation®Store на 200 MYR.</li>
 <li>Безопасный способ оплаты и покупки игр, дополнений, фильмов и другого контента в магазине PlayStation®Store.</li>
 <li>Удобный способ подарить возможность выбора контента по своему вкусу любителям игр на PlayStation.</li>
</ul>

<p>Этот цифровой код активации предназначен для использования в Малайзии.</p>
<p>Доставка кода осуществляется онлайн, моментально после покупки вы получите его на указанный при оформлении адрес электронной почты.</p>",Sony,,,,,,,,0.1,2/10/5,,5669,7087,3924.25,3924.25,,,,,,,,,,,,5288930259,5288930259,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 4,PlayStation 5,PlayStation 3","iOS,Android",PlayStation Store,200,99 лет,Малайзия,,,1,16+,,только для аккаунтов Малайзии,бессрочно,,Малайзия,,
GFT6156,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Малайзия,MYR 250 PlayStation®Store Wallet gift card Малайзия MYR 250 PlayStation®Store Wa,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>MYR 250 PlayStation®Store Wallet gift card</h1>

<p>Цифровой код активации для пополнения кошелька PlayStation®Store на сумму 250 малайзийских ринггитов.</p>

<ul>
 <li>Доступ к широкому выбору игр, дополнений, фильмов и другого контента в магазине PlayStation®Store.</li>
 <li>Возможность приобретения игр и контента без использования банковской карты.</li>
 <li>Подарите возможность выбора подарка любителю игр и развлечений.</li>
</ul>

<p>Особенности цифрового товара:</p>
<ol>
 <li>Моментальная доставка кода активации на указанный электронный адрес.</li>
 <li>Удобный способ оплаты и пополнения кошелька без посещения магазина.</li>
 <li>Простой и безопасный способ приобретения цифрового контента для PlayStation.</li>
</ol>

<p>Регион активации: Малайзия</p>
<p>Способ получения кода: онлайн, на указанный электронный адрес после оформления покупки.</p>",Sony,,,,,,,,0.1,2/10/5,,7317,9146,5064.62,5064.62,,,,,,,,,,,,5288927286,5288927286,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 5,PlayStation 4,PlayStation 3","iOS,Android",PlayStation Store,250,99 лет,Малайзия,,,1,16+,,только для аккаунтов Малайзии,бессрочно,,Малайзия,,
GFT6157,,,85,"Улучшайте, чтобы получить больше баллов
Изображения
Шесть фото или больше +7
Видео
Первое видео хорошего качества +2
Длина первого видео 10–120 секунд +2
Все видео хорошего качества +2
Добавлено хотя бы одно видео +2",PlayStation Store Малайзия,MYR 300 PlayStation®Store Wallet gift card Малайзия - ваучер MYR 300 PlayStation,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,,"<h1>MYR 300 PlayStation®Store Wallet gift card</h1>

<p>Цифровой код активации для пополнения баланса в магазине PlayStation®Store.</p>

<ul>
 <li>300 MYR на ваш счет в PlayStation®Store</li>
 <li>Возможность приобретения игр, дополнений, фильмов и музыки</li>
 <li>Удобная оплата онлайн без использования кредитных карт</li>
</ul>

<p>Особенности:</p>
<ol>
 <li>Быстрая активация и получение кода</li>
 <li>Гарантированная безопасность и надежность</li>
 <li>Идеальный подарок для любителей игр на PlayStation</li>
</ol>

<p>Регион активации: Малайзия.</p>
<p>После покупки вы моментально получите цифровой код активации на указанный при заказе электронный адрес. Пополните свой баланс в PlayStation®Store и наслаждайтесь широким выбором контента для вашей консоли.</p>",Sony,,,,,,,,0.1,2/10/5,,8485,10607,5873.4,5873.4,,,,,,,,,,,,5288930253,5288930253,,пополнение счета,игры,PlayStation Store,электронный ключ,"PlayStation 4,PlayStation 3,PlayStation 5","iOS,Android",PlayStation Store,300,99 лет,Малайзия,,,1,16+,,только для аккаунтов Малайзии,бессрочно,,Малайзия,,
