,,,Основные параметры,,,,,,,,,,,,Вес и габариты с упаковкой,,,Цена,,,,Срок годности и службы,,,,Гарантийный срок,,Маркировка и документы,,,Уценка,,,Дополнительно,,,,,,,,,
Критичные ошибки,Некритичные ошибки,Качество карточки,Ваш SKU *,Название товара *,Ссылка на изображение *,Описание товара *,Категория на Маркете *,Бренд *,Штрихкод *,Теги,Ссылка на видео,Инструкции,Страна производства,Артикул производителя,"Вес с упаковкой, кг","Габариты с упаковкой, см",Товар занимает больше одного места,Цена *,Зачёркнутая цена,Себестоимость,Дополнительные расходы,Срок годности,Комментарий к сроку годности,Срок службы,Комментарий к сроку службы,Гарантийный срок,Комментарий к гарантийному сроку,Буду маркировать,Номер документа на товар,Код ТН ВЭД,Тип уценки,Внешний вид товара,Описание состояния товара,Особый тип товара,С какого возраста пользоваться,Товар для взрослых,Цифровой товар,Характеристики товара,В архиве,Артикул товара (SKU),Артикул Маркета,Категория на Маркете,Дата дополнения карточки
"Значение поля выгружено для информации. Не будет изменено при загрузке.

Список критичных ошибок по товару","Значение поля выгружено для информации. Не будет изменено при загрузке.

Список некритичных ошибок по товару","Заполняется автоматически. Показывает, насколько хорошо заполнена карточка, и влияет на место в поиске. Чем выше товар в поиске, тем больше у него показов и заказов. Значение измеряется в баллах.","Уникальный идентификатор товара, для которого будет передана цена",По схеме: тип товара + бренд или производитель + модель + отличительные характеристики,Cсылка на изображение товара. Можно указать до 30 ссылок через запятую. Изображение по первой ссылке будет основным.,Не более 6000 символов (включая знаки препинания),Она помогает точнее определить категорию в каталоге Маркета.,"Название торговой марки, бренд или производитель товара.","Если штрихкодов несколько, перечислите через запятую",Можно указать до 10 тегов через запятую.  Каждый тег — не более 20 знаков с пробелами.,"Это должны быть прямые ссылки на видео (ссылки, заканчивающиеся на MP4, WebM, MOV, QT, FLV, AVI). Размер — до 100 МБ, длительность - от 1 секунды до 20 минут. На видео не должно быть водяных знаков, копирайтов, логотипов, рамок, теней и других посторонних элементов и надписей, которые не являются частью товара или его упаковки.","Это должна быть прямая ссылка на инструкцию (ссылки, заканчивающиеся на PDF, JPG, PNG). Размер — до 30 МБ, можно указать до 6 ссылок через запятую. Вы можете задать название инструкции, которое будут видеть покупатели, по умолчанию будет использоваться название «Инструкция».",Название на русском языке.,"Код товара, который ему присваивает производитель. Если кодов несколько, укажите их через запятую.","Можно указывать с точностью до тысячных, разделитель целой и дробной части — точка или запятая.","Длина, ширина, высота в упаковке. Должны быть разделены символом «/» без пробелов. Можно указывать с точностью до тысячных, разделитель целой и дробной части — точка или запятая.","Если нет — оставьте поле пустым. Если да — укажите количество мест (например, кондиционер занимает 2 места — внешний и внутренний блоки в двух коробках)","Цена в валюте кабинета, по которой вы хотите продавать товар. Может быть за штуку или упаковку. Применяется для всех ваших магазинов","Цена до скидки в валюте кабинета, которую покупатели видят на витрине. Применяется для всех ваших магазинов",Стоимость затрат на самостоятельное производство товара или закупку у производителя или поставщиков.,"Дополнительные расходы на товар. Например, на доставку или упаковку.","В годах, месяцах, днях, неделях или часах","Дополнительные условия хранения
","В годах, месяцах, днях, неделях или часах
",Дополнительные условия использования,"В годах, месяцах, днях, неделях или часах",Дополнительные условия гарантии,"Укажите Да, если товар не подлежит обязательной маркировке, но вы планируете передавать коды Честного знака по нему. Если оставить поле пустым, для товара не будет возможности передать коды маркировки.","Например, сертификата или декларации соответствия. Если документов несколько, перечислите через запятую","10 цифр без пробелов. Обязательное для товаров, подлежащих особому учету (например, в системах «Меркурий», «Честный ЗНАК»)","Заполните, если ваш товар уже был в употреблении или имеет незначительные дефекты.  Выберите значение из списка: бывший в употреблении, витринный образец, уцененный товар, повторная продажа (только для одежды и аксессуаров) или Восстановленный","Выберите значение из списка: как новый, отличный, хороший.",Короткое описание следов использования или дефектов товара.,"Выберите значение из списка, чтобы товар попал в правильную категорию и на нужную карточку. У товара, который продаётся под заказ, не показываем точную дату доставки.","Если товаром можно пользоваться только с определенного возраста, укажите его.","Укажите, если товар относится к удовлетворению сексуальных потребностей. Если нет, оставьте поле пустым.","Параметр устанавливается для цифровых товаров, которые просто скачиваются. Если нет — оставьте поле пустым. ","Все важные характеристики товара — цвет, размер, объем, материал, возраст, пол, и т. д.","Помещен ли товар в архив каталога. При перемещении товара в архив, он скрывается с витрины для всех магазинов кабинета. ","Если вы знаете SKU на Маркете, заполните это поле. В противном случае оставьте его пустым",Значение поля выгружено для информации. Не будет изменено при загрузке.,"Значение поля выгружено для информации. Не будет изменено при загрузке.

Текущая категория товара в каталоге Маркета","Не удаляйте и не меняйте данный столбец - он заполняется автоматически. Показывает, когда на карточке менялись данные, которые дополнил Маркет."
,,53,GFT1,AED 1500 Apple gift card,,"AED 1500 Apple gift card
Категория: Apple Gift Card | AE
Страна: ОАЭ
Тип: voucher",досуг и развлечения / онлайн-подписки и карты оплаты,Apple Gift Card | AE,,,,,,,0.1,2/10/5,1.0,48033.0,60041.0,33696.36,33696.36,,,,,,,,,,,,,,,,Да,,,5363076329,5363076329,досуг и развлечения / онлайн-подписки и карты оплаты,
,,60,GFT10,AED 100 Google Play gift card (ОАЭ) - цифровой подарочный сертификат AED 100 Goo,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации AED 100 Google Play gift card</h2>

<p>Приобретите цифровой код активации AED 100 Google Play gift card и получите мгновенный доступ к широкому выбору контента в магазине Google Play.</p>

<ul>
 <li>После покупки вы получите уникальный код активации.</li>
 <li>Можете пополнить свой баланс Google Play на сумму 100 AED.</li>
 <li>Приобретайте приложения, игры, фильмы, музыку и многое другое.</li>
</ul>

<p>Особенности цифрового товара:</p>
<ol>
 <li>Мгновенная доставка кода активации онлайн.</li>
 <li>Удобный способ пополнения баланса Google Play.</li>
 <li>Идеальный подарок для любителей цифрового контента.</li>
</ol>

<p>Регион активации: ОАЭ. Получите код активации моментально после покупки и наслаждайтесь покупками в Google Play без ограничений.</p>",досуг и развлечения / онлайн-подписки и карты оплаты,Google,,,,,,,0.1,2/10/5,1.0,3153.0,3941.0,2182.58,2182.58,,,,,,,,,,,,,,,,Да,,,5288911412,5288911412,досуг и развлечения / онлайн-подписки и карты оплаты,
Товар скрыт с витрины: При создании обращения в разделе «Поддержка» советуем выбрать тему «Контроль качества».,,83,GFT100,$400 Apple Gift Card - США - Ваучер $400 Apple Gift Card $400 Apple Gift Card $4,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h1>Цифровой код активации $400 Apple Gift Card</h1>

<p>Подарочная карта Apple Gift Card на $400 — идеальный способ пополнить свой аккаунт в App Store, iTunes Store, iCloud и других сервисах Apple. Этот цифровой код активации предоставляет вам доступ к множеству контента: приложениям, играм, фильмам, музыке, книгам и многому другому.</p>

<ul>
 <li>После покупки вы получите уникальный код активации.</li>
 <li>Просто введите код на официальном сайте Apple и сразу начните пользоваться средствами на вашем аккаунте.</li>
 <li>Карта действительна для использования в США.</li>
</ul>

<p>Особенности цифровой карты Apple Gift Card:</p>

<ol>
 <li>Удобный способ пополнения счета без посещения магазина.</li>
 <li>Широкий выбор контента для покупки в экосистеме Apple.</li>
 <li>Отличный подарок для любителей продукции Apple.</li>
</ol>",досуг и развлечения / онлайн-подписки и карты оплаты,Apple Gift Card | US,,,,,,,0.1,2/10/5,1.0,45048.0,56311.0,31181.64,31181.64,,,,,,,,,,,,,,,,Да,,,5288909738,5288909738,досуг и развлечения / онлайн-подписки и карты оплаты,
,,60,GFT1001,AED 200 Amazon.ae Gift Card - ОАЭ - Ваучер AED 200 amazon.ae gift card AED 200 a,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации AED 200 amazon.ae gift card</h2>

<p>Подарите возможность выбора с подарочной картой Amazon.ae на сумму 200 дирхамов ОАЭ. Идеальный подарок для тех, кто ценит свободу выбора!</p>

<ul>
 <li>200 дирхамов для покупок на Amazon.ae</li>
 <li>Широкий выбор товаров: электроника, книги, одежда и многое другое</li>
 <li>Быстрая доставка онлайн</li>
</ul>

<p>Особенности:</p>
<ol>
 <li>Гибкость выбора подарка</li>
 <li>Удобство и простота использования</li>
 <li>Идеальный подарок для любого случая</li>
</ol>

<p>Регион активации: ОАЭ. Получите цифровой код активации мгновенно после покупки и воспользуйтесь им для покупок на Amazon.ae.</p>",досуг и развлечения / онлайн-подписки и карты оплаты,Amazon,,,,,,,0.1,2/10/5,1.0,6339.0,7924.0,4387.78,4387.78,,,,,,,,,,,,,,,,Да,,,5288911479,5288911479,досуг и развлечения / онлайн-подписки и карты оплаты,
,,58,GFT1002,Lebara Voucher SAR 23 для Саудовской Аравии SAR 23 Lebara Voucher SAR 23 Lebara,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации SAR 23 Lebara Voucher</h2>

<p>Цифровой код активации SAR 23 Lebara Voucher представляет собой удобный способ пополнить счет мобильного оператора Lebara в Саудовской Аравии.</p>

<ul>
 <li>После покупки вы получите уникальный код активации, который можно использовать для пополнения баланса мобильного телефона.</li>
 <li>Благодаря цифровому формату, доставка кода осуществляется онлайн, что экономит ваше время и обеспечивает мгновенный доступ к услугам оператора.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ul>
 <li>Моментальное пополнение счета без необходимости посещения физических магазинов.</li>
 <li>Удобство и простота процесса активации кода.</li>
 <li>Гарантированная безопасность и конфиденциальность вашей информации.</li>
</ul>

<p>Регион активации: Саудовская Аравия</p>
<p>Способ получения кода: онлайн доставка</p>",электроника / телефоны / тарифные планы и номера / тарифные планы,Lebara Voucher | SA,,,,,,,0.1,2/10/5,1.0,737.0,921.0,510.06,510.06,,,,,,,,,,,,,,,,Да,,,5288928863,5288928863,электроника / телефоны / тарифные планы и номера / тарифные планы,
,,58,GFT1003,Lebara SAR 35 Voucher Саудовская Аравия SAR 35 Lebara Voucher SAR 35 Lebara Vouc,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации SAR 35 Lebara Voucher</h2>

<p>Цифровой код активации SAR 35 Lebara Voucher представляет собой удобный способ пополнения баланса мобильного телефона оператора Lebara в Саудовской Аравии.</p>

<ul>
 <li>После приобретения данного ваучера вы получаете уникальный код активации.</li>
 <li>Совершите покупку онлайн и мгновенно получите код на указанный электронный адрес.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ul>
 <li>Моментальная активация без необходимости посещения магазина.</li>
 <li>Удобство и безопасность онлайн-платежей.</li>
 <li>Возможность пополнить баланс мобильного телефона в любое удобное время.</li>
</ul>

<p>Регион активации: Саудовская Аравия.</p>
<p>Получите цифровой код активации SAR 35 Lebara Voucher онлайн и наслаждайтесь удобством пополнения баланса мобильного телефона в любое время!</p>",электроника / телефоны / тарифные планы и номера / тарифные планы,Lebara Voucher | SA,,,,,,,0.1,2/10/5,1.0,941.0,1177.0,651.65,651.65,,,,,,,,,,,,,,,,Да,,,5288926105,5288926105,электроника / телефоны / тарифные планы и номера / тарифные планы,
,,58,GFT1004,Lebara SAR 60 Voucher (Саудовская Аравия) SAR 60 Lebara Voucher SAR 60 Lebara Vo,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации SAR 60 Lebara Voucher</h2>

<p>Цифровой код активации SAR 60 Lebara Voucher представляет собой удобный способ пополнить баланс своего мобильного телефона в Саудовской Аравии.</p>

<ul>
 <li>После покупки вы получите уникальный цифровой код активации.</li>
 <li>С помощью этого кода вы сможете пополнить баланс мобильного телефона на сумму SAR 60.</li>
</ul>

<p>Особенности и преимущества цифрового товара:</p>

<ol>
 <li>Моментальное пополнение баланса без необходимости посещения магазина.</li>
 <li>Удобство использования - просто введите код активации на своем устройстве.</li>
</ol>

<p>Регион активации: Саудовская Аравия</p>
<p>Способ получения кода: доставка осуществляется онлайн, после оплаты вы получите код на указанный при покупке электронный адрес.</p>",электроника / телефоны / тарифные планы и номера / тарифные планы,Lebara Voucher | SA,,,,,,,0.1,2/10/5,1.0,1883.0,2354.0,1303.31,1303.31,,,,,,,,,,,,,,,,Да,,,5288928957,5288928957,электроника / телефоны / тарифные планы и номера / тарифные планы,
,,58,GFT1005,Lebara Voucher SAR 115 для Саудовской Аравии SAR 115 Lebara Voucher SAR 115 Leba,https://giftkod.com/static/uploads/yandex_extra/1_default_1773525155_cf9dfa0a.jpg,"<h2>Цифровой код активации SAR 115 Lebara Voucher</h2>

<p>Цифровой код активации SAR 115 Lebara Voucher предоставляет доступ к услугам мобильной связи в Саудовской Аравии.</p>

<ul>
 <li>После покупки вы получите цифровой код активации SAR 115 Lebara Voucher.</li>
 <li>Мгновенная доставка кода онлайн.</li>
</ul>

<p>Особенности цифрового товара:</p>

<ul>
 <li>Быстрый и удобный способ пополнения счета мобильного телефона.</li>
 <li>Возможность использования кода в любое удобное время.</li>
</ul>

<p>Регион активации: Саудовская Аравия.</p>
<p>Способ получения кода: онлайн, мгновенная доставка после покупки.</p>",электроника / телефоны / тарифные планы и номера / тарифные планы,Lebara Voucher | SA,,,,,,,0.1,2/10/5,1.0,3683.0,4604.0,2549.62,2549.62,,,,,,,,,,,,,,,,Да,,,5288926067,5288926067,электроника / телефоны / тарифные планы и номера / тарифные планы,
